Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12383.0,185,6,1839.31,3,4,4,344,Loyal Customers
12384.0,29,3,566.16,4,2,2,422,Recent Customers
12385.0,379,2,1923.4,2,2,4,224,Lost Customers
12386.0,338,2,401.9,2,2,2,222,Lost Customers
12387.0,415,1,143.94,1,1,1,111,Lost Customers
12388.0,16,8,3901.11,5,4,5,545,Champions
12389.0,403,3,1433.33,2,2,4,224,Lost Customers
12390.0,80,1,549.84,3,1,2,312,Lost Customers
12391.0,22,7,2699.24,4,4,4,444,Champions
12392.0,591,1,234.75000000000003,1,1,1,111,Lost Customers
12393.0,72,7,2376.75,3,4,4,344,Loyal Customers
12394.0,64,2,1272.48,3,2,4,324,Lost Customers
12395.0,16,18,4700.82,5,5,5,555,Champions
12396.0,674,1,931.43,1,1,3,113,Lost Customers
12397.0,36,2,2409.9,4,2,4,424,Recent Customers
12398.0,46,1,1635.6599999999999,4,1,4,414,Recent Customers
12399.0,119,7,1962.3,3,4,4,344,Loyal Customers
12400.0,414,1,205.25,2,1,1,211,Lost Customers
12401.0,303,1,84.3,2,1,1,211,Lost Customers
12402.0,323,7,1244.15,2,4,4,244,At Risk
12403.0,50,3,1001.36,4,2,3,423,Recent Customers
12404.0,682,1,63.24,1,1,1,111,Lost Customers
12405.0,149,1,1710.39,3,1,4,314,Lost Customers
12406.0,22,7,6072.21,4,4,5,445,Champions
12407.0,50,5,1708.1200000000001,4,3,4,434,Loyal Customers
12408.0,33,14,4279.64,4,5,5,455,Champions
12409.0,79,13,23090.47,3,5,5,355,Loyal Customers
12410.0,301,4,1001.46,2,3,3,233,At Risk
12411.0,410,1,346.9,2,1,2,212,Lost Customers
12412.0,75,8,2581.03,3,4,4,344,Loyal Customers
12413.0,67,6,935.5,3,4,3,343,Loyal Customers
12414.0,217,8,692.41,2,4,3,243,At Risk
12415.0,24,33,143269.29,4,5,5,455,Champions
12416.0,657,1,202.56,1,1,1,111,Lost Customers
12417.0,3,27,6688.71,5,5,5,555,Champions
12418.0,113,5,2016.95,3,3,4,334,Loyal Customers
12419.0,386,2,503.01,2,2,2,222,Lost Customers
12420.0,64,1,600.39,3,1,3,313,Lost Customers
12421.0,16,8,1092.83,5,4,3,543,Loyal Customers
12422.0,96,21,4119.35,3,5,5,355,Loyal Customers
12423.0,1,11,2612.19,5,5,4,554,Champions
12424.0,163,7,3289.78,3,4,5,345,Loyal Customers
12425.0,78,3,1680.81,3,2,4,324,Lost Customers
12426.0,195,3,1311.41,2,2,4,224,Lost Customers
12427.0,12,5,708.37,5,3,3,533,Loyal Customers
12428.0,26,12,7877.2,4,5,5,455,Champions
12429.0,9,9,6154.01,5,4,5,545,Champions
12430.0,43,1,256.4,4,1,2,412,Recent Customers
12431.0,36,33,10293.66,4,5,5,455,Champions
12432.0,43,5,5059.32,4,3,5,435,Loyal Customers
12433.0,1,11,16641.74,5,5,5,555,Champions
12434.0,85,5,1062.48,3,3,3,333,Loyal Customers
12435.0,80,6,13925.93,3,4,5,345,Loyal Customers
12436.0,100,1,509.01,3,1,2,312,Lost Customers
12437.0,2,47,12394.85,5,5,5,555,Champions
12438.0,14,2,2906.85,5,2,5,525,Recent Customers
12439.0,683,3,1089.18,1,2,3,123,Lost Customers
12440.0,457,3,768.15,1,2,3,123,Lost Customers
12441.0,367,1,173.55,2,1,1,211,Lost Customers
12442.0,3,1,172.06,5,1,1,511,Recent Customers
12443.0,732,1,485.31,1,1,2,112,Lost Customers
12444.0,21,5,5005.46,4,3,5,435,Loyal Customers
12445.0,22,3,426.48,4,2,2,422,Recent Customers
12446.0,58,1,1002.3100000000001,4,1,3,413,Recent Customers
12447.0,243,1,476.49,2,1,2,212,Lost Customers
12448.0,44,1,449.45,4,1,2,412,Recent Customers
12449.0,22,6,4835.89,4,4,5,445,Champions
12450.0,156,7,666.95,3,4,3,343,Loyal Customers
12451.0,11,10,12546.53,5,4,5,545,Champions
12452.0,17,3,428.57,5,2,2,522,Recent Customers
12453.0,134,1,707.09,3,1,3,313,Lost Customers
12454.0,53,9,4292.71,4,4,5,445,Champions
12455.0,73,10,5879.95,3,4,5,345,Loyal Customers
12456.0,44,4,3153.89,4,3,5,435,Loyal Customers
12457.0,58,14,2472.31,4,5,4,454,Champions
12458.0,71,4,1777.49,3,3,4,334,Loyal Customers
12459.0,605,1,454.36,1,1,2,112,Lost Customers
12460.0,456,1,326.65,1,1,2,112,Lost Customers
12461.0,94,2,826.88,3,2,3,323,Lost Customers
12462.0,2,4,1124.01,5,3,3,533,Loyal Customers
12463.0,46,7,1303.63,4,4,4,444,Champions
12464.0,10,8,1212.05,5,4,4,544,Champions
12465.0,8,3,733.89,5,2,3,523,Recent Customers
12466.0,682,1,56.73,1,1,1,111,Lost Customers
12467.0,386,2,0.0,2,2,1,221,Lost Customers
12468.0,143,10,3624.55,3,4,5,345,Loyal Customers
12469.0,523,2,3070.54,1,2,5,125,Lost Customers
12470.0,690,1,211.95,1,1,1,111,Lost Customers
12471.0,2,129,37920.01,5,5,5,555,Champions
12472.0,31,37,15447.69,4,5,5,455,Champions
12473.0,29,9,2837.73,4,4,5,445,Champions
12474.0,17,54,11948.75,5,5,5,555,Champions
12475.0,54,2,1149.64,4,2,3,423,Recent Customers
12476.0,1,38,13684.12,5,5,5,555,Champions
12477.0,23,12,20173.64,4,5,5,455,Champions
12478.0,4,1,680.99,5,1,3,513,Recent Customers
12479.0,4,3,477.3,5,2,2,522,Recent Customers
12480.0,28,8,5435.1,4,4,5,445,Champions
12481.0,23,18,12041.15,4,5,5,455,Champions
12482.0,450,32,21893.53,1,5,5,155,At Risk
12483.0,17,27,4823.47,5,5,5,555,Champions
12484.0,33,16,6287.8,4,5,5,455,Champions
12485.0,529,1,708.1,1,1,3,113,Lost Customers
12486.0,432,1,1037.28,1,1,3,113,Lost Customers
12487.0,731,2,259.79999999999995,1,2,2,122,Lost Customers
12488.0,10,3,1298.66,5,2,4,524,Recent Customers
12489.0,336,1,334.93,2,1,2,212,Lost Customers
12490.0,5,22,9818.64,5,5,5,555,Champions
12491.0,39,1,460.40000000000003,4,1,2,412,Recent Customers
12492.0,63,3,715.21,3,2,3,323,Lost Customers
12493.0,166,3,416.79,3,2,2,322,Lost Customers
12494.0,10,17,1685.92,5,5,4,554,Champions
12495.0,635,2,323.4,1,2,2,122,Lost Customers
12496.0,620,2,45.34,1,2,1,121,Lost Customers
12497.0,82,4,6211.75,3,3,5,335,Loyal Customers
12498.0,21,3,403.70000000000005,4,2,2,422,Recent Customers
12499.0,560,1,393.72,1,1,2,112,Lost Customers
12500.0,23,25,5872.31,4,5,5,455,Champions
12501.0,315,2,2089.68,2,2,4,224,Lost Customers
12502.0,96,5,3723.87,3,3,5,335,Loyal Customers
12503.0,338,2,0.0,2,2,1,221,Lost Customers
12504.0,18,6,411.0,5,4,2,542,Loyal Customers
12505.0,301,3,908.0,2,2,3,223,Lost Customers
12506.0,233,1,73.5,2,1,1,211,Lost Customers
12507.0,134,5,1797.31,3,3,4,334,Loyal Customers
12508.0,26,2,397.88,4,2,2,422,Recent Customers
12509.0,284,1,176.5,2,1,1,211,Lost Customers
12510.0,143,16,3689.33,3,5,5,355,Loyal Customers
12511.0,415,2,3065.77,1,2,5,125,Lost Customers
12512.0,66,2,132.18,3,2,1,321,Lost Customers
12513.0,85,2,586.79,3,2,3,323,Lost Customers
12514.0,267,2,1597.76,2,2,4,224,Lost Customers
12515.0,353,1,383.7,2,1,2,212,Lost Customers
12516.0,78,4,2648.62,3,3,4,334,Loyal Customers
12517.0,28,6,2443.65,4,4,4,444,Champions
12518.0,1,5,2056.89,5,3,4,534,Loyal Customers
12519.0,64,3,685.19,3,2,3,323,Lost Customers
12520.0,79,6,2582.51,3,4,4,344,Loyal Customers
12521.0,143,1,599.68,3,1,3,313,Lost Customers
12522.0,39,2,192.72,4,2,1,421,Recent Customers
12523.0,2,30,4201.05,5,5,5,555,Champions
12524.0,9,18,11091.36,5,5,5,555,Champions
12525.0,491,8,835.1800000000001,1,4,3,143,At Risk
12526.0,1,3,1316.66,5,2,4,524,Recent Customers
12527.0,82,5,735.51,3,3,3,333,Loyal Customers
12528.0,9,8,1922.28,5,4,4,544,Champions
12529.0,523,2,311.78000000000003,1,2,2,122,Lost Customers
12530.0,60,12,3689.86,3,5,5,355,Loyal Customers
12531.0,15,3,1899.05,5,2,4,524,Recent Customers
12532.0,30,1,349.83000000000004,4,1,2,412,Recent Customers
12533.0,619,6,1149.99,1,4,3,143,At Risk
12534.0,131,1,1089.18,3,1,3,313,Lost Customers
12535.0,92,2,716.35,3,2,3,323,Lost Customers
12536.0,8,5,4106.82,5,3,5,535,Loyal Customers
12537.0,409,1,732.94,2,1,3,213,Lost Customers
12538.0,29,2,640.45,4,2,3,423,Recent Customers
12539.0,22,8,9498.9,4,4,5,445,Champions
12540.0,20,36,22107.29,4,5,5,455,Champions
12541.0,30,3,981.18,4,2,3,423,Recent Customers
12542.0,484,4,423.38,1,3,2,132,At Risk
12543.0,448,1,980.25,1,1,3,113,Lost Customers
12544.0,30,2,355.7,4,2,2,422,Recent Customers
12545.0,75,2,1000.39,3,2,3,323,Lost Customers
12546.0,47,3,1141.5,4,2,3,423,Recent Customers
12547.0,198,3,383.58,2,2,2,222,Lost Customers
12548.0,166,1,95.19999999999999,3,1,1,311,Lost Customers
12549.0,576,6,1575.68,1,4,4,144,At Risk
12550.0,79,1,964.83,3,1,3,313,Lost Customers
12551.0,358,1,168.0,2,1,1,211,Lost Customers
12552.0,39,2,437.82,4,2,2,422,Recent Customers
12553.0,8,17,4548.82,5,5,5,555,Champions
12554.0,449,1,468.5,1,1,2,112,Lost Customers
12555.0,682,1,129.23,1,1,1,111,Lost Customers
12556.0,50,2,599.56,4,2,3,423,Recent Customers
12557.0,16,8,18096.14,5,4,5,545,Champions
12558.0,2,2,1.0658141036401503e-14,5,2,1,521,Recent Customers
12559.0,311,3,536.21,2,2,2,222,Lost Customers
12560.0,5,4,2101.39,5,3,4,534,Loyal Customers
12561.0,303,1,238.85,2,1,1,211,Lost Customers
12562.0,8,9,4966.92,5,4,5,545,Champions
12563.0,409,1,249.24,2,1,1,211,Lost Customers
12564.0,261,1,456.9,2,1,2,212,Lost Customers
12565.0,282,2,131.17,2,2,1,221,Lost Customers
12566.0,73,2,346.7,3,2,2,322,Lost Customers
12567.0,23,17,11451.44,4,5,5,455,Champions
12568.0,645,1,70.0,1,1,1,111,Lost Customers
12569.0,2,35,4064.9900000000002,5,5,5,555,Champions
12570.0,682,1,77.52,1,1,1,111,Lost Customers
12571.0,40,2,519.61,4,2,2,422,Recent Customers
12572.0,9,3,1004.72,5,2,3,523,Recent Customers
12573.0,227,5,717.41,2,3,3,233,At Risk
12574.0,316,1,218.45,2,1,1,211,Lost Customers
12575.0,457,2,622.8199999999999,1,2,3,123,Lost Customers
12576.0,36,11,2083.87,4,5,4,454,Champions
12577.0,35,9,1554.7,4,4,4,444,Champions
12578.0,21,7,4572.45,4,4,5,445,Champions
12579.0,73,3,410.72,3,2,2,322,Lost Customers
12580.0,247,2,1052.9,2,2,3,223,Lost Customers
12581.0,40,1,197.71,4,1,1,411,Recent Customers
12582.0,239,4,1980.4,2,3,4,234,At Risk
12583.0,3,31,13489.039999999999,5,5,5,555,Champions
12584.0,4,18,1893.95,5,5,4,554,Champions
12585.0,234,4,1982.81,2,3,4,234,At Risk
12586.0,17,5,2045.67,5,3,4,534,Loyal Customers
12587.0,8,1,144.0,5,1,1,511,Recent Customers
12588.0,39,5,938.98,4,3,3,433,Loyal Customers
12589.0,29,11,3094.17,4,5,5,455,Champions
12590.0,190,5,9853.48,3,3,5,335,Loyal Customers
12591.0,317,3,1338.95,2,2,4,224,Lost Customers
12592.0,92,8,1152.62,3,4,3,343,Loyal Customers
12593.0,109,3,418.09999999999997,3,2,2,322,Lost Customers
12594.0,38,17,5044.51,4,5,5,455,Champions
12595.0,505,1,299.02,1,1,2,112,Lost Customers
12596.0,51,2,618.27,4,2,3,423,Recent Customers
12597.0,19,5,3683.13,4,3,5,435,Loyal Customers
12598.0,10,15,4414.67,5,5,5,555,Champions
12599.0,29,13,2296.72,4,5,4,454,Champions
12600.0,29,26,4879.29,4,5,5,455,Champions
12601.0,190,7,673.76,3,4,3,343,Loyal Customers
12602.0,59,1,153.12,3,1,1,311,Lost Customers
12603.0,22,1,739.1999999999999,4,1,3,413,Recent Customers
12604.0,79,2,254.18,3,2,1,321,Lost Customers
12605.0,365,5,1225.45,2,3,4,234,At Risk
12606.0,682,1,21.0,1,1,1,111,Lost Customers
12607.0,58,2,3.552713678800501e-15,4,2,1,421,Recent Customers
12608.0,405,1,415.79,2,1,2,212,Lost Customers
12609.0,78,10,3417.86,3,4,5,345,Loyal Customers
12610.0,23,7,2057.99,4,4,4,444,Champions
12611.0,52,1,1193.32,4,1,4,414,Recent Customers
12612.0,58,2,643.59,4,2,3,423,Recent Customers
12613.0,31,13,6573.82,4,5,5,455,Champions
12614.0,278,1,315.6,2,1,2,212,Lost Customers
12615.0,2,11,5564.88,5,5,5,555,Champions
12616.0,85,7,1045.35,3,4,3,343,Loyal Customers
12617.0,29,1,352.98,4,1,2,412,Recent Customers
12618.0,22,1,177.31,4,1,1,411,Recent Customers
12619.0,16,14,3354.95,5,5,5,555,Champions
12620.0,15,3,1339.41,5,2,4,524,Recent Customers
12621.0,2,44,24114.7,5,5,5,555,Champions
12622.0,232,1,180.1,2,1,1,211,Lost Customers
12623.0,276,9,3639.84,2,4,5,245,At Risk
12624.0,106,2,641.13,3,2,3,323,Lost Customers
12625.0,212,5,5095.38,2,3,5,235,At Risk
12626.0,23,13,6388.35,4,5,5,455,Champions
12627.0,11,7,4478.53,5,4,5,545,Champions
12628.0,4,4,769.61,5,3,3,533,Loyal Customers
12629.0,386,2,1558.22,2,2,4,224,Lost Customers
12630.0,10,2,1270.88,5,2,4,524,Recent Customers
12631.0,57,7,3452.27,4,4,5,445,Champions
12632.0,521,4,738.88,1,3,3,133,At Risk
12633.0,59,10,5595.21,3,4,5,345,Loyal Customers
12634.0,536,2,490.0,1,2,2,122,Lost Customers
12635.0,90,4,2930.41,3,3,5,335,Loyal Customers
12636.0,739,1,141.0,1,1,1,111,Lost Customers
12637.0,67,14,8215.16,3,5,5,355,Loyal Customers
12638.0,33,2,921.49,4,2,3,423,Recent Customers
12639.0,239,3,1312.37,2,2,4,224,Lost Customers
12640.0,24,3,1174.58,4,2,4,424,Recent Customers
12641.0,115,1,185.9,3,1,1,311,Lost Customers
12642.0,25,3,1013.26,4,2,3,423,Recent Customers
12643.0,128,14,7835.3,3,5,5,355,Loyal Customers
12644.0,130,6,1815.54,3,4,4,344,Loyal Customers
12645.0,34,10,3499.1,4,4,5,445,Champions
12646.0,5,2,1346.97,5,2,4,524,Recent Customers
12647.0,22,45,16713.99,4,5,5,455,Champions
12648.0,155,5,1097.0,3,3,3,333,Loyal Customers
12649.0,107,10,2258.5,3,4,4,344,Loyal Customers
12650.0,3,1,314.44,5,1,2,512,Recent Customers
12651.0,335,5,365.3,2,3,2,232,At Risk
12652.0,322,3,1011.58,2,2,3,223,Lost Customers
12653.0,149,3,4160.83,3,2,5,325,Lost Customers
12654.0,11,5,601.98,5,3,3,533,Loyal Customers
12655.0,424,1,261.35,1,1,2,112,Lost Customers
12656.0,17,12,6320.78,5,5,5,555,Champions
12657.0,11,5,1152.06,5,3,3,533,Loyal Customers
12658.0,19,1,686.05,4,1,3,413,Recent Customers
12659.0,30,1,91.68,4,1,1,411,Recent Customers
12660.0,11,1,245.1,5,1,1,511,Recent Customers
12661.0,436,1,162.0,1,1,1,111,Lost Customers
12662.0,1,22,6687.6900000000005,5,5,5,555,Champions
12663.0,625,3,204.0,1,2,1,121,Lost Customers
12664.0,8,12,6052.04,5,5,5,555,Champions
12665.0,325,5,301.45,2,3,2,232,At Risk
12666.0,359,2,1020.98,2,2,3,223,Lost Customers
12667.0,58,1,620.13,4,1,3,413,Recent Customers
12668.0,7,12,11319.06,5,5,5,555,Champions
12669.0,151,4,1607.73,3,3,4,334,Loyal Customers
12670.0,10,8,3750.39,5,4,5,545,Champions
12671.0,606,1,2622.481,1,1,4,114,Lost Customers
12672.0,330,3,410.5,2,2,2,222,Lost Customers
12673.0,5,3,1230.02,5,2,4,524,Recent Customers
12674.0,12,7,1922.26,5,4,4,544,Champions
12675.0,554,4,933.55,1,3,3,133,At Risk
12676.0,25,12,2773.09,4,5,4,454,Champions
12677.0,555,3,389.3,1,2,2,122,Lost Customers
12678.0,42,23,33851.13,4,5,5,455,Champions
12679.0,52,9,1058.67,4,4,3,443,Loyal Customers
12680.0,1,4,880.81,5,3,3,533,Loyal Customers
12681.0,15,56,29518.24,5,5,5,555,Champions
12682.0,4,53,22862.12,5,5,5,555,Champions
12683.0,4,27,11355.52,5,5,5,555,Champions
12684.0,8,7,2283.63,5,4,4,544,Champions
12685.0,28,6,2863.08,4,4,5,445,Champions
12686.0,372,1,89.14,2,1,1,211,Lost Customers
12687.0,481,2,2138.91,1,2,4,124,Lost Customers
12688.0,114,1,4873.8099999999995,3,1,5,315,Lost Customers
12689.0,26,2,1247.61,4,2,4,424,Recent Customers
12690.0,206,1,389.01,2,1,2,212,Lost Customers
12691.0,28,7,1170.4,4,4,4,444,Champions
12692.0,637,1,110.95,1,1,1,111,Lost Customers
12693.0,121,11,1640.42,3,5,4,354,Loyal Customers
12694.0,70,4,1839.45,3,3,4,334,Loyal Customers
12695.0,7,7,1407.1200000000001,5,4,4,544,Champions
12696.0,435,3,801.15,1,3,3,133,At Risk
12697.0,21,5,939.02,4,3,3,433,Loyal Customers
12698.0,590,1,339.75,1,1,2,112,Lost Customers
12699.0,418,1,638.11,1,1,3,113,Lost Customers
12700.0,8,6,4867.99,5,4,5,545,Champions
12701.0,80,6,2446.41,3,4,4,344,Loyal Customers
12702.0,20,1,219.0,4,1,1,411,Recent Customers
12703.0,64,7,892.18,3,4,3,343,Loyal Customers
12704.0,7,10,2220.84,5,4,4,544,Champions
12705.0,15,22,11554.0,5,5,5,555,Champions
12706.0,682,1,-91.89,1,1,1,111,Lost Customers
12707.0,292,1,603.42,2,1,3,213,Lost Customers
12708.0,30,30,4921.72,4,5,5,455,Champions
12709.0,3,55,29511.03,5,5,5,555,Champions
12710.0,97,4,1130.57,3,3,3,333,Loyal Customers
12711.0,612,2,1339.05,1,2,4,124,Lost Customers
12712.0,23,28,6521.78,4,5,5,455,Champions
12713.0,1,1,848.55,5,1,3,513,Recent Customers
12714.0,9,12,14093.71,5,5,5,555,Champions
12715.0,106,1,343.36,3,1,2,312,Lost Customers
12716.0,4,2,1053.49,5,2,3,523,Recent Customers
12717.0,151,4,1258.91,3,3,4,334,Loyal Customers
12718.0,71,1,238.25,3,1,1,311,Lost Customers
12719.0,5,3,608.1,5,3,3,533,Loyal Customers
12720.0,3,41,7574.49,5,5,5,555,Champions
12721.0,32,10,3933.83,4,4,5,445,Champions
12722.0,85,6,904.33,3,4,3,343,Loyal Customers
12723.0,4,5,725.07,5,3,3,533,Loyal Customers
12724.0,5,7,2317.52,5,4,4,544,Champions
12725.0,371,4,2266.76,2,3,4,234,At Risk
12726.0,28,11,4014.6,4,5,5,455,Champions
12727.0,11,12,5646.53,5,5,5,555,Champions
12728.0,71,5,1070.17,3,3,3,333,Loyal Customers
12729.0,114,1,453.01,3,1,2,312,Lost Customers
12730.0,522,1,829.25,1,1,3,113,Lost Customers
12731.0,24,19,25673.21,4,5,5,455,Champions
12732.0,180,1,236.26000000000002,3,1,1,311,Lost Customers
12733.0,234,6,2326.82,2,4,4,244,At Risk
12734.0,353,3,639.65,2,3,3,233,At Risk
12735.0,315,2,779.5699999999999,2,2,3,223,Lost Customers
12736.0,333,1,234.0,2,1,1,211,Lost Customers
12737.0,499,2,3710.5,1,2,5,125,Lost Customers
12738.0,372,1,155.35,2,1,1,211,Lost Customers
12739.0,78,4,2726.73,3,3,4,334,Loyal Customers
12740.0,64,1,427.6,3,1,2,312,Lost Customers
12741.0,529,2,406.07,1,2,2,122,Lost Customers
12742.0,600,2,1185.02,1,2,4,124,Lost Customers
12743.0,134,2,540.13,3,2,2,322,Lost Customers
12744.0,52,14,13158.16,4,5,5,455,Champions
12745.0,487,3,925.41,1,3,3,133,At Risk
12746.0,528,3,230.85000000000002,1,3,1,131,At Risk
12747.0,2,32,8786.53,5,5,5,555,Champions
12748.0,1,364,46933.33,5,5,5,555,Champions
12749.0,4,16,6328.49,5,5,5,555,Champions
12750.0,129,1,275.88,3,1,2,312,Lost Customers
12751.0,445,1,268.27,1,1,2,112,Lost Customers
12752.0,81,1,4366.78,3,1,5,315,Lost Customers
12753.0,4,11,21024.01,5,5,5,555,Champions
12754.0,236,5,2949.12,2,3,5,235,At Risk
12755.0,250,22,2611.95,2,5,4,254,At Risk
12756.0,87,1,112.07999999999998,3,1,1,311,Lost Customers
12757.0,16,19,4205.25,5,5,5,555,Champions
12758.0,117,8,9779.0,3,4,5,345,Loyal Customers
12759.0,52,8,5020.74,4,4,5,445,Champions
12760.0,456,1,347.8,1,1,2,112,Lost Customers
12761.0,458,2,782.95,1,2,3,123,Lost Customers
12762.0,8,2,1898.52,5,2,4,524,Recent Customers
12763.0,138,2,494.08,3,2,2,322,Lost Customers
12764.0,317,1,1693.88,2,1,4,214,Lost Customers
12765.0,472,6,1404.58,1,4,4,144,At Risk
12766.0,4,11,8877.14,5,5,5,555,Champions
12767.0,376,1,949.82,2,1,3,213,Lost Customers
12768.0,432,2,3.552713678800501e-15,1,2,1,121,Lost Customers
12769.0,239,1,1143.6,2,1,3,213,Lost Customers
12770.0,211,7,2975.95,2,4,5,245,At Risk
12771.0,465,2,262.5,1,2,2,122,Lost Customers
12772.0,60,1,892.47,3,1,3,313,Lost Customers
12773.0,564,2,1.7763568394002505e-15,1,2,1,121,Lost Customers
12774.0,536,1,98.7,1,1,1,111,Lost Customers
12775.0,17,8,1651.32,5,4,4,544,Champions
12776.0,668,1,55.5,1,1,1,111,Lost Customers
12777.0,458,1,519.45,1,1,2,112,Lost Customers
12778.0,20,10,1757.68,4,4,4,444,Champions
12779.0,21,21,6158.6,4,5,5,455,Champions
12780.0,599,1,337.4,1,1,2,112,Lost Customers
12781.0,21,5,707.72,4,3,3,433,Loyal Customers
12782.0,5,14,4526.04,5,5,5,555,Champions
12783.0,2,8,1603.87,5,4,4,544,Champions
12784.0,9,3,1763.15,5,3,4,534,Loyal Customers
12785.0,3,5,1079.31,5,3,3,533,Loyal Customers
12786.0,610,1,728.5,1,1,3,113,Lost Customers
12787.0,10,5,859.18,5,3,3,533,Loyal Customers
12788.0,463,4,444.9,1,3,2,132,At Risk
12789.0,65,3,273.35,3,3,2,332,Loyal Customers
12790.0,192,3,563.45,2,3,2,232,At Risk
12791.0,374,8,585.15,2,4,3,243,At Risk
12792.0,257,3,813.88,2,3,3,233,At Risk
12793.0,335,3,885.53,2,3,3,233,At Risk
12794.0,53,2,860.41,4,2,3,423,Recent Customers
12795.0,19,1,430.48,4,1,2,412,Recent Customers
12796.0,628,1,381.0,1,1,2,112,Lost Customers
12797.0,360,6,471.43,2,4,2,242,At Risk
12798.0,10,4,8510.93,5,3,5,535,Loyal Customers
12799.0,529,1,219.35,1,1,1,111,Lost Customers
12800.0,470,3,584.25,1,3,3,133,At Risk
12801.0,478,2,1031.87,1,2,3,123,Lost Customers
12802.0,184,9,2350.42,3,4,4,344,Loyal Customers
12803.0,393,1,1092.81,2,1,3,213,Lost Customers
12804.0,466,2,325.37,1,2,2,122,Lost Customers
12805.0,382,4,1434.95,2,3,4,234,At Risk
12806.0,435,4,2878.96,1,3,5,135,At Risk
12807.0,383,3,269.95,2,3,2,232,At Risk
12808.0,37,5,776.7,4,3,3,433,Loyal Customers
12809.0,168,8,1705.34,3,4,4,344,Loyal Customers
12810.0,535,2,534.99,1,2,2,122,Lost Customers
12811.0,261,5,1033.9,2,3,3,233,At Risk
12812.0,45,1,229.64000000000001,4,1,1,411,Recent Customers
12813.0,502,3,1687.8,1,3,4,134,At Risk
12814.0,102,1,125.92,3,1,1,311,Lost Customers
12815.0,148,2,1063.46,3,2,3,323,Lost Customers
12816.0,96,2,572.2,3,2,2,322,Lost Customers
12817.0,281,3,690.98,2,3,3,233,At Risk
12818.0,178,2,1517.88,3,2,4,324,Lost Customers
12819.0,458,1,540.52,1,1,2,112,Lost Customers
12820.0,3,13,2647.94,5,5,4,554,Champions
12821.0,214,2,220.8,2,2,1,221,Lost Customers
12822.0,71,3,918.98,3,3,3,333,Loyal Customers
12823.0,75,18,6501.5,3,5,5,355,Loyal Customers
12824.0,60,1,397.12,3,1,2,312,Lost Customers
12825.0,521,2,518.63,1,2,2,122,Lost Customers
12826.0,3,15,2773.69,5,5,4,554,Champions
12827.0,6,3,430.15000000000003,5,3,2,532,Loyal Customers
12828.0,3,6,1018.71,5,4,3,543,Loyal Customers
12829.0,322,4,345.35,2,3,2,232,At Risk
12830.0,38,7,6748.4,4,4,5,445,Champions
12831.0,262,3,451.11,2,3,2,232,At Risk
12832.0,32,2,383.03,4,2,2,422,Recent Customers
12833.0,145,1,417.38,3,1,2,312,Lost Customers
12834.0,283,1,312.38,2,1,2,212,Lost Customers
12835.0,418,49,5972.19,1,5,5,155,At Risk
12836.0,59,17,6520.58,3,5,5,355,Loyal Customers
12837.0,173,2,662.66,3,2,3,323,Lost Customers
12838.0,34,12,2953.46,4,5,5,455,Champions
12839.0,3,31,9525.22,5,5,5,555,Champions
