StockCode,Description,Total_Quantity,Total_Revenue
20657,TROPICAL LUGGAGE TAG,1877,726.47
20658,RED RETROSPOT LUGGAGE TAG,572,851.06
20658,RED SPOTTY LUGGAGE TAG,976,1355.3
20659,ECONOMY LUGGAGE TAG,369,533.51
20660,VIP LUGGAGE TAG ,71,88.75
20661,BLUE POLKADOT PURSE ,85,250.66
20661,BLUE SPOTTY PURSE ,459,519.1
20662,FIRST CLASS HOLIDAY PURSE ,428,420.33000000000004
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,571,275.56
20664,TROPICAL HOLIDAY PURSE ,57,155.41
20665,RED RETROSPOT PURSE ,598,1975.2200000000003
20665,RED SPOTTY PURSE ,705,2186.7200000000003
20666,ECONOMY HOLIDAY PURSE,511,344.45000000000005
20667,CHERRY BLOSSOM PURSE,40,108.69
20668,DISCO BALL CHRISTMAS DECORATION,20948,2454.52
20669,RED HEART LUGGAGE TAG,797,1111.89
20670,VIP HOLIDAY PURSE,382,292.45000000000005
20671,BLUE TEATIME PRINT BOWL ,786,1038.72
20672,PINK TEATIME PRINT BOWL,138,201.0
20673,STRAWBERRIES PRINT BOWL,5,6.25
20674,GREEN POLKADOT BOWL,1841,2376.52
20674,GREEN SPOTTY BOWL,1556,1953.44
20675,BLUE POLKADOT BOWL,3595,4585.83
20675,BLUE SPOTTY BOWL,2830,3432.19
20676,RED RETROSPOT BOWL,5750,7339.38
20676,RED SPOTTY BOWL,4588,5609.51
20677,PINK POLKADOT BOWL,4194,5431.820000000001
20677,PINK SPOTTY BOWL,3566,4348.93
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,6.6
20679,EDWARDIAN PARASOL RED,6131,29913.870000000003
20680,PINK FLOWERS CHILDS UMBRELLA,6,19.5
20681,PINK POLKADOT CHILDRENS UMBRELLA,401,1451.29
20681,PINK SPOTTY CHILDS UMBRELLA,973,3206.11
20682,RED RETROSPOT CHILDRENS UMBRELLA,1560,5299.5199999999995
20682,RED SPOTTY CHILDS UMBRELLA,1451,4693.04
20683,RAIN GIRL CHILDS UMBRELLA,1,3.25
20684,STRAWBERRY DREAM CHILDS UMBRELLA,568,1873.56
20685,DOOR MAT RED SPOT,2480,15853.44
20685,DOORMAT RED RETROSPOT,4960,34656.74
20685,DOORMAT RED SPOT,1086,7765.42
20685,RED SPOTTY COIR DOORMAT,1166,7509.34
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,582,1977.84
20688,BEAUTY SPEED EXPRESSO CUPS,464,332.9
20689,RETRO SISTERS EXPRESSO CUPS,417,590.7
20692,FLORAL ELEPHANT SOFT TOY,906,3674.26
20693,FLORAL DINOSAUR GREEN,32,157.64000000000001
20694,FLORAL PINK MONSTER,162,607.33
20695,FLORAL BLUE MONSTER,138,587.58
20696,FLORAL SOFT CAR TOY,151,617.9399999999999
20697,LITTLE GREEN MONSTER SOFT TOY,40,96.6
20698,LITTLE PINK MONSTER SOFT TOY,47,114.44999999999999
20699,MOUSEY LONG LEGS SOFT TOY,294,797.9599999999999
20700,GREEN CAT FLORAL CUSHION COVER ,418,1117.55
20701,PINK CAT FLORAL CUSHION COVER ,353,721.49
20702,PINK PADDED MOBILE,771,3249.95
20703,BLUE PADDED SOFT MOBILE,442,1870.22
20704,MR ROBOT SOFT TOY,357,1343.6200000000001
20705,MRS ROBOT SOFT TOY,272,994.24
20707,CRAZY DAISY HEART DECORATION,1606,1234.93
20711,JUMBO BAG TOYS ,12605,25648.82
20712,JUMBO BAG WOODLAND ANIMALS,17459,37051.76
20713,JUMBO BAG OWLS,20562,40218.07
20714,POSY SHOPPER BAG,1580,649.8199999999999
20715,LITTLE FLOWER SHOPPER BAG,0,0.0
20716,PARTY FOOD SHOPPER BAG,1522,1911.29
20717,STRAWBERRY SHOPPER BAG,6171,7630.23
20718,RED RETROSPOT SHOPPER BAG,6250,8638.77
20718,RED SPOTTY SHOPPER BAG,7045,8746.84
20719,WOODLAND CHARLOTTE BAG,24344,27491.6
20721,OWLS CHARLOTTE BAG,1,0.85
20723,STRAWBERRY CHARLOTTE BAG,18109,20243.27
20724,RED RETROSPOT CHARLOTTE BAG,20437,24786.04
20724,RED SPOTTY CHARLOTTE BAG,11439,10151.34
20725,LUNCH BAG RED RETROSPOT,21636,40152.62
20725,LUNCH BAG RED SPOTTY,17750,29569.92
20726,LUNCH BAG WOODLAND,21103,37008.79
20727,LUNCH BAG  BLACK SKULL.,25467,43876.32
20728,LUNCH BAG CARS BLUE,23456,40592.3
20729,RED SPOTTY CANDY BAG,5240,1750.62
20730,STRAWBERRY CANDY BAG,2207,997.95
20731,POSY CANDY BAG,4087,1194.62
20733,GOLD MINI TAPE MEASURE ,1627,1236.2
20734,SILVER MINI TAPE MEASURE ,1591,1469.77
20735,BLACK MINI TAPE MEASURE ,1515,1540.29
20736,PINK MINI TAPE MEASURE ,290,233.5
20737,RED MINI TAPE MEASURE ,1,1.7
20738,GREEN MINI TAPE MEASURE ,1610,1301.72
20739,*USB Office Glitter Lamp,1,8.65
20747,PICCADILLY TEA SET,679,9169.52
20748,KENSINGTON COFFEE SET,1600,14266.980000000001
20749,ASSORTED COLOUR MINI CASES,3049,21995.86
20750, RED/WHITE DOT MINI CASES,491,3696.59
20750,RED RETROSPOT MINI CASES,2049,14996.119999999999
20750,RED/WHITE DOT MINI CASES,1128,8029.32
20751,FUNKY WASHING UP GLOVES ASSORTED,2836,6016.960000000001
20752,BLUE POLKADOT WASHING UP GLOVES,533,1208.26
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,964,1653.64
20753,RETRO PINK SPOT WASHING UP GLOVES,216,504.8
20754,RETRO RED SPOTTY WASHING UP GLOVES,3107,6193.1900000000005
20754,RETROSPOT RED WASHING UP GLOVES,1954,4185.33
20755,BLUE PAISLEY POCKET BOOK,5145,1089.73
20756,GREEN FERN POCKET BOOK,5728,851.5600000000001
20757,RED DAISY POCKET BOOK ,5347,890.7
20758,ABSTRACT CIRCLES POCKET BOOK,5424,952.5699999999999
20759,CHRYSANTHEMUM POCKET BOOK ,5777,891.13
20760,GARDEN PATH POCKET BOOK,5550,1313.66
20761,BLUE PAISLEY SKETCHBOOK,454,1407.46
20762,GREEN FERN SKETCHBOOK ,454,1328.79
20763,DAISY SKETCHBOOK ,263,687.86
20764,ABSTRACT CIRCLES SKETCHBOOK ,681,2119.76
20765,CHRYSANTHEMUM SKETCHBOOK ,437,1246.31
20766,GARDEN PATH SKETCHBOOK,514,1533.47
20767,BLUE PAISLEY JOURNAL ,805,1723.76
20768,GREEN FERN JOURNAL ,767,1534.19
20769,DAISY JOURNAL ,438,808.81
20770,ABSTRACT CIRCLE JOURNAL ,1035,2170.49
20771,CHRYSANTHEMUM  JOURNAL,600,1186.3799999999999
20772,GARDEN PATH JOURNAL,819,1528.4799999999998
20773,BLUE PAISLEY NOTEBOOK,3338,962.3299999999999
20774,GREEN FERN NOTEBOOK,3483,960.8299999999999
20775,DAISY NOTEBOOK ,3604,926.54
20776,ABSTRACT CIRCLES NOTEBOOK,3258,832.66
20777,CHRYSANTHEMUM NOTEBOOK,3657,1257.75
20778,GARDEN PATH NOTEBOOK ,3608,939.41
20779,PINK EAR MUFF HEADPHONES,-3,-14.790000000000001
20780,BLACK EAR MUFF HEADPHONES,230,1328.47
20781,GOLD EAR MUFF HEADPHONES,97,546.99
20782,CAMOUFLAGE EAR MUFF HEADPHONES,148,957.05
20783,HEART EAR MUFF HEADPHONES,161,1030.28
20784,RED RETRO BAR STOOL,100,3530.92
20785,FUSCHIA RETRO BAR STOOL,101,3632.4
20786,BLACK RETRO BAR STOOL,97,3454.0
20787,BLUE RETRO BAR STOOL,69,2535.1
20791,BLUE TILED SET OF 3 DRAWERS,0,0.0
20793,BLUE TILED TRAY,276,484.75
20794,BLUE  TILE HOOK,194,545.12
20795,LARGE BLUE PROVENCAL CERAMIC BALL,128,294.0
20796,SMALL BLUE PROVENCAL CERAMIC BALL,99,182.15999999999997
20798,CLEAR MILKSHAKE GLASS,475,1167.9
20799,PINK MILKSHAKE GLASS,192,325.87
20800,LARGE GLASS SUNDAE DISH CLEAR,1005,303.96
20801,LARGE PINK GLASS SUNDAE DISH,1060,1398.0
20802,SMALL GLASS SUNDAE DISH CLEAR,1003,1561.8899999999999
20803,SMALL PINK GLASS SUNDAE DISH,1075,836.0
20804,GLASS CHICKEN BUTTER DISH,277,509.71
20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,5,12.75
20814,SILVER FINCH DECORATION,176,192.64000000000001
20816,GOLD FLOWER CUSHION COVER ,19,89.85
20818,GOLD TEDDY BEAR,87,268.5
20819,SILVER TEDDY BEAR,228,631.49
20820,SILVER LOOKING MIRROR,11,54.45
20821,GOLDIE LOOKING MIRROR,28,217.12
20822,SILVER WINE GOBLET,0,0.0
20823,GOLD WINE GOBLET,249,515.11
20825,GOLD WINE GLASS,355,1232.58
20826,SILVER APERITIF GLASS,355,290.72
20827,GOLD APERITIF GLASS,173,209.36
20828,GLITTER BUTTERFLY CLIPS,4393,10863.98
20829,GLITTER HANGING BUTTERFLY STRING,3726,8023.06
20830,SILVER PHOTO FRAME,396,937.29
20831,GOLD PHOTO FRAME,468,915.36
20832,RED FLOCK LOVE HEART PHOTO FRAME,1673,1115.85
20833,SHAKER THROW  QUILTED,51,761.85
20835,FRENCH LATTICE CUSHION COVER ,80,87.02
20836,FRENCH PAISLEY CUSHION COVER,200,204.64
20837,FRENCH FLORAL CUSHION COVER ,165,188.07
20838,FRENCH LATTICE CUSHION COVER ,434,555.6
20839,FRENCH PAISLEY CUSHION COVER ,633,1018.11
20840,FRENCH FLORAL CUSHION COVER ,666,1053.2399999999998
20845,ZINC HEART LATTICE 2 WALL PLANTER,76,502.27
20846,ZINC HEART LATTICE T-LIGHT HOLDER,1453,1956.81
20847,ZINC HEART LATTICE CHARGER LARGE,79,326.73
20848,ZINC HEART LATTICE CHARGER SMALL,39,115.05000000000001
20849,ZINC HEART LATTICE DOUBLE PLANTER,674,593.03
20850,ZINC HEART LATTICE PLANTER BOWL,820,713.8000000000001
20851,ZINC HEART LATTICE TRAY OVAL ,333,417.67
20854,BLUE PATCH PURSE PINK HEART,426,686.62
20855,PINK PATCH PURSE BLUE HEART,141,232.64999999999998
20856,DENIM PATCH PURSE PINK BUTTERFLY,397,655.9399999999999
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,233,384.45
20858,SILVER PURSE GOLD PINK BUTTERFLY,4,6.6
20860,GOLD COSMETICS BAG WITH BUTTERFLY,20,42.0
20861,GOLD COSMETIC BAG PINK STAR,46,96.60000000000001
20862,PINK PATCH PENCIL CASE BLUE HEART,324,689.0400000000001
20863,BLUE PATCH PENCIL CASE PINK HEART,292,599.4300000000001
20864,DENIM PATCH PENCIL CASE BUTTERFLY,251,496.04
20865,PATCHWORK PENCIL CASE BUTTERFLY ,169,355.02
20866,BLUE ROSE FABRIC MIRROR,1160,1241.71
20867,PINK ROSE FABRIC MIRROR,1098,1093.14
20868,SILVER FABRIC MIRROR,882,518.07
20869,GOLD FABRIC MIRROR,529,295.12
20870,OPULENT VELVET CANDLE IN BOX,28,50.1
20871,OPULENT VELVET SET/3 CANDLES,1271,1973.8500000000001
20877,MODERN CHRISTMAS BAUBLE CANDLE ,12,5.04
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,737,952.51
20879,TREE OF NOAH FESTIVE SCENTED CANDLE,-39,-133.8
20881,MODERN CHRISTMAS TREE CANDLE,3,2.55
20882,MODERN CHRISTMAS TREE CANDLE,3,8.850000000000001
20884,MODERN CHRISTMAS TREE CANDLE ,3,6.300000000000001
20885,BOX OF 3 PEBBLE CANDLES,0,0.0
20886,BOX OF 9 PEBBLE CANDLES,1771,3528.52
20887,BOX OF 6 PEBBLE CANDLES,18,118.39
20888,SET 3 JARDIN DE FEMME SCENT CANDLES,367,547.74
20889,JARDIN DE FEMME SCENTED CANDLE,657,398.03999999999996
20890,SMALL GLASS ROSE SCENTED CANDLE,605,202.62
20891,LARGE GLASS ROSE SCENTED CANDLE ,684,236.32999999999998
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,81,889.1999999999999
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,448,1074.14
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,261,810.4000000000001
20895,VINTAGE NOTEBOOK FRENCH LETTER ,16,47.20000000000001
20896,VINTAGE NOTEBOOK PINK FLOWER,39,115.05000000000001
20897,VINTAGE NOTEBOOK PARIS DAYS,339,813.3000000000001
20898,VINTAGE NOTEBOOK TRAVELOGUE,321,676.22
20899,VINTAGE NOTEBOOK RED ROSE,44,129.8
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,89,793.88
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,206,1525.22
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,186,913.45
20905,VINTAGE KEEPSAKE BOX BEAUTY GIRL,10,63.5
20906,VINTAGE NOTEBOOK BEAUTY GIRL,101,368.24
20910,VINTAGE PHOTO ALBUM PARIS DAYS,106,769.12
20913,SET/5 BLUE SPOTTY LID GLASS BOWLS,314,898.7199999999999
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,7848,22713.04
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10422,28726.72
20931,BLUE POT PLANT CANDLE ,646,2150.52
20932,PINK POT PLANT CANDLE,316,1088.22
20933,YELLOW POT PLANT CANDLE,505,1329.4900000000002
20934,SET/3 POT PLANT CANDLES,177,1077.57
20935,ROUND CACTUS CANDLE,294,556.78
20936,FORKED CACTUS CANDLE,324,817.6400000000001
20939,ORANGE CANDLE,12,10.2
20940,SET/6 GARDEN GNOME T-LIGHT CANDLES,82,236.55
20941,FROG CANDLE,951,854.93
20942,SET/6 GINGERBREAD TREE T-LIGHTS,5,6.25
20943,SET/6 GINGERBREAD STAR T-LIGHTS,380,538.96
20950,SET/6  ANGEL T-LIGHTS WHITE/GOLD,687,353.39
20952,PORCELAIN CHERUB BELL SMALL,69,31.560000000000002
20953,PORCELAIN CHERUB BELL LARGE,33,54.449999999999996
20954,*USB Office Mirror Ball,3,25.590000000000003
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,2308,3046.32
20957,PORCELAIN HANGING BELL SMALL,125,183.16
20958,PORCELAIN HANGING BELL LARGE,38,70.5
20960,WATERMELON BATH SPONGE,1900,2550.84
20961,STRAWBERRY BATH SPONGE ,3459,4598.9
20963,APPLE BATH SPONGE,3449,4663.65
20964,POLYESTER FILLER PAD 60x40cm,20,50.99999999999999
20966,SANDWICH BATH SPONGE,3006,4263.99
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,1035,3922.34
20968,GREEN FLORAL FELTCRAFT SHOULDER BAG,43,185.11
20969,RED FLORAL FELTCRAFT SHOULDER BAG,3092,11574.61
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,2487,9376.04
20971,PINK BLUE FELT CRAFT TRINKET BOX,19689,25841.65
20972,PINK CREAM FELT CRAFT TRINKET BOX ,18999,23231.920000000002
20973,12 PENCIL SMALL TUBE WOODLAND,9856,6769.400000000001
20974,12 PENCILS SMALL TUBE SKULL,12607,8288.74
20975,12 PENCILS SMALL TUBE RED RETROSPOT,9704,6461.88
20975,12 PENCILS SMALL TUBE RED SPOTTY,6912,4528.4800000000005
20976,12 PENCILS SMALL TUBE POSY,549,376.34000000000003
20977,36 PENCILS TUBE WOODLAND,3716,4974.99
20978,36 PENCILS TUBE SKULLS,4099,5416.07
20979,36 PENCILS TUBE RED RETROSPOT,4551,5757.2
20979,36 PENCILS TUBE RED SPOTTY,3215,4051.43
20980,36 PENCILS TUBE POSY,224,271.06
20981,12 PENCILS TALL TUBE WOODLAND,4639,4002.0099999999998
20982,12 PENCILS TALL TUBE SKULLS,4822,4219.15
20983,12 PENCILS TALL TUBE RED RETROSPOT,3903,3378.87
20983,12 PENCILS TALL TUBE RED SPOTTY,2346,2063.8599999999997
20984,12 PENCILS TALL TUBE POSY,5651,1896.1999999999998
20985,HEART CALCULATOR,2326,2993.56
20986,BLUE CALCULATOR RULER,1217,1530.95
20987,GEISHA GIRL CHOPSTICKS SET/5,131,288.35
20988,TRELLIS FLOWER CHOPSTICKS SET/5,24,46.8
20989,URBAN CHIC CHOPSTICKS SET/5,405,778.28
20990,SPRING FLOWER CHOPSTICKS SET/5,894,1704.19
20991,JAZZ HEARTS MAGNETIC MEMO PAD,7084,884.5600000000002
20992,JAZZ HEARTS PURSE NOTEBOOK,6151,3220.4
20993,JAZZ HEARTS MEMO PAD,10967,1334.1100000000001
20994,JAZZ HEARTS SPIRAL NOTEPAD,47,39.949999999999996
20996,JAZZ HEARTS ADDRESS BOOK,6297,1680.91
20997,ROSE DU SUD CUSHION COVER ,170,796.74
20998,ROSE DU SUD OVEN GLOVE,324,942.2600000000001
21000,ROSE DU SUD COSMETICS BAG,690,1744.98
21001,ROSE DU SUD WASHBAG ,141,717.8000000000001
21002,ROSE DU SUD DRAWSTRING BAG,417,1507.22
21003,ROSE DU SUD CUSHION COVER,109,647.75
21004,ROSE DU SUD CHILDRENS APRON,31,135.93
21004,ROSE DU SUD CHILDS APRON,106,489.14
21007,ETCHED GLASS DROPLET DECORATION,1927,914.6700000000001
21008,ETCHED GLASS HEART TREE DECORATION,1,2.51
21009,ETCHED GLASS STAR TREE DECORATION,1032,1476.24
21010,ETCHED GLASS BIRD TREE DECORATION,838,1099.76
21011,GLITTER SNOW PEAR TREE DECORATION,1837,1369.45
21012,ANTIQUE ALL GLASS CANDLESTICK,2292,4283.2
21014,SWISS CHALET TREE DECORATION ,1849,927.3699999999999
21015,DARK BIRD HOUSE TREE DECORATION,1696,770.5699999999999
21016,LIGHT BIRD HOUSE TREE DECORATION,830,581.17
21017,RED BIRD HOUSE TREE DECORATION,659,535.89
21018,BIRD BOX CHRISTMAS TREE DECORATION,213,182.70999999999998
21025,SPACE FROG,300,396.12
21026,SPACE OWL,549,716.73
21027,NINJA RABBIT PINK,355,433.61
21028,NINJA RABBIT BLACK,323,423.9
21030,SPACE CADET RED,239,290.9
21031,SPACE CADET BLACK,143,175.45
21032,SPACE CADET WHITE,200,248.41
21033,JUMBO BAG CHARLIE AND LOLA TOYS,4579,10100.82
21034,REX CASH+CARRY JUMBO SHOPPER,3974,3775.2999999999997
21035,SET/2 RED RETROSPOT TEA TOWELS ,3130,10119.46
21035,SET/2 RED SPOTTY TEA TOWELS ,2657,7954.67
21036,SET/2 TEA TOWELS MODERN VINTAGE,1,2.55
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,164,349.58000000000004
21039,RED RETROSPOT SHOPPING BAG,615,1595.01
21039,RED SPOTTY SHOPPING BAG,682,1787.84
21040,MODERN VINTAGE COTTON SHOPPING BAG,894,1125.85
21041,RED RETROSPOT OVEN GLOVE DOUBLE,1373,5307.51
21041,RED SPOTTY OVEN GLOVE DOUBLE,1280,3703.4300000000003
21042,RED RETROSPOT APRON ,673,4044.8
21042,RED SPOTTY APRON ,782,4566.71
21043,APRON MODERN VINTAGE COTTON,674,1903.18
21051,RIBBONS PURSE ,748,1473.5600000000002
21053,ZINC HEART HANGER WITH HOOKS,-1,-4.25
21054,NURSE'S BAG SOFT TOY,380,3520.1
21055,TOOL BOX SOFT TOY ,379,3776.4399999999996
21056,DOCTOR'S BAG SOFT TOY,463,4267.429999999999
21058,PARTY INVITES WOODLAND,2384,2045.3899999999999
21059,PARTY INVITES DINOSAURS,1572,1328.1599999999999
21060,PARTY INVITES BALLOON GIRL,1276,952.55
21061,PARTY INVITES FOOTBALL,1384,1036.36
21062,PARTY INVITES SPACEMAN,1053,875.87
21063,PARTY INVITES JAZZ HEARTS,1452,1252.87
21064,BOOM BOX SPEAKER BOYS,875,4379.37
21065,BOOM BOX SPEAKER GIRLS,601,1415.45
21066,VINTAGE RED MUG,2272,1479.67
21067,VINTAGE RED TEATIME MUG,4727,3790.91
21068,VINTAGE BILLBOARD LOVE/HATE MUG,3977,4126.3
21069,VINTAGE BILLBOARD TEA MUG,4373,4633.47
21070,VINTAGE BILLBOARD MUG ,2004,2050.14
21071,VINTAGE BILLBOARD DRINK ME MUG,4257,4984.65
21076,SET/20 COLLAGE PAPER NAPKIN ,842,713.6999999999999
21077,SET/20 WOODLAND PAPER NAPKINS ,2790,2058.1
21078,SET/20 STRAWBERRY PAPER NAPKINS ,7209,6179.549999999999
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,15366,13212.84
21080,SET/20 RED SPOTTY PAPER NAPKINS ,15057,11770.42
21081,SET/20 POSIES PAPER NAPKINS,4,3.4
21082,SET/20 FRUIT SALAD PAPER NAPKINS ,4109,1436.51
21084,SET/6 COLLAGE PAPER CUPS,2905,1004.25
21085,SET/6 WOODLAND PAPER CUPS,13731,1872.68
21086,SET/6 RED SPOTTY PAPER CUPS,15866,10359.17
21087,SET/6 POSIES PAPER CUPS,260,168.08
21088,SET/6 FRUIT SALAD PAPER CUPS,9475,1244.21
21089,SET/6 GREEN SPRING PAPER CUPS,323,112.54
21090,SET/6 COLLAGE PAPER PLATES,3071,1715.05
21091,SET/6 WOODLAND PAPER PLATES,13700,1868.7
21092,SET/6 STRAWBERRY PAPER PLATES,12822,1551.1
21094,SET/6 RED SPOTTY PAPER PLATES,18871,14838.789999999999
21095,SET/6 POSIES PAPER PLATES,295,274.57
21096,SET/6 FRUIT SALAD  PAPER PLATES,8911,1800.67
21097,SET/6 GREEN SPRING  PAPER PLATE,32,27.2
21098,CHRISTMAS TOILET ROLL,8318,13017.54
21099,SET/6 STRAWBERRY PAPER CUPS,13170,1438.64
21100,CHARLIE AND LOLA CHARLOTTE BAG,2536,3788.4
21102,"CANDLE IN JAR COLLAGE , VANILLA",51,142.03
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,790,2419.6800000000003
21107,CREAM SLICE FLANNEL PINK SPOT ,2302,6624.77
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9803,18792.9
21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,925,2661.67
21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",246,1801.32
21110,LARGE CAKE TOWEL PINK SPOTS,1634,7690.47
21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",1372,3166.51
21112,SWISS ROLL TOWEL PINK  SPOTS,706,1913.6899999999998
21112,"SWISS ROLL TOWEL, PINK  SPOTS",1318,3063.2700000000004
21114,LAVENDER SCENTED FABRIC HEART,5606,7231.14
21115,ROSE CARAVAN DOORSTOP,1246,7949.09
21116,OWL DOORSTOP,1354,7895.06
21117,BLOND DOLL DOORSTOP,328,502.08
21118,SHOPPING BAG DOORSTOP,69,104.25
21119,Glow In The Dark Shot Glasses ,3,41.01
21120,*Boombox Ipod Classic,1,16.98
21121,SET/10 RED POLKADOT PARTY CANDLES,8558,10331.93
21121,SET/10 RED SPOTTY PARTY CANDLES,6487,7898.27
21122,SET/10 PINK POLKADOT PARTY CANDLES,6470,7871.37
21122,SET/10 PINK SPOTTY PARTY CANDLES,5666,6882.16
